Full Name,ID Number,Manager ID,Gender,Birthday,Role,Full time/Part time/Contract,Country,Department,Grade,Current Salary,Current Bonus,Pension,Email Address,NI or Tax number,Other Unique Identifier,Ethnicity,FTE,Start Date,Leave Date,Current Employee,Area,How recruited,Relocation costs,Recruitment cost,Reason for leaving,Cost of termination,Ccy,Healthcare costs,Other benefits,Expenses,Share based payments,Performance Ranking,Engagement index,Absence Days,Absence Type,Bradford Index,Training Cost,Training Day,Successor,Total payroll cost,Total benefits,Payroll taxes,Total annual compensation,Monthly cost Including payroll taxes,Age,Tenure Years,Years to retirement,Sales targets,Span of Control,Absence detail,Team Engagement,Customer Satisfaction,Team Performance,Personal Performance,Role Start Date,Prior period performance ranking,Absence Instances
Susan Deans,687,112,female,07/06/1988,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,54767,4961,1095,Susan.Deans@realco.com,HA658624J,,,1,20/04/2010,,Y,Manchester,Advert,,500,,,GBP,1500,0,9000,0,1.6,6.21,10,Sickness,360,,,,59728,2595,8302,70626,6635,40.35,2.5,24.65,node.links.from.budget,0,Stress,NaN,,,,10/01/2011,2,6
James Pritchard,712,112,male,11/04/1982,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,57813,5042,1156,James.Pritchard@realco.com,AJ931853J,,,1,21/09/2008,,Y,Manchester,Advert,,500,,,GBP,2000,0,9000,0,1.8,5.32,9,,81,,,,62855,3156,8737,74748,6979,51.56,4.08,13.44,node.links.from.budget,0,,NaN,,,,02/05/2012,2.25,3
Alicia Moss,737,112,female,09/08/1958,Delivery Grade 4,Full time,UK,Ops Programme Delivery,4,64476,7238,1934,Alicia.Moss@realco.com,BA219961H,,,1,04/06/2011,,Y,Manchester,Internal,0,0,,,GBP,1500,0,10518.61,0,9,6.75,6,,54,,,,71714,3434,9968,85117,7970,47.6,1.38,17.4,node.links.from.budget,0,,NaN,,,,04/06/2011,10,3
Ingrid Valdez,762,112,female,02/08/1986,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,57804,5041,1156,Ingrid.Valdez@realco.com,EH768661D,,,1,09/08/2011,,Y,Manchester,Advert,,500,,,GBP,2000,0,9000,0,2.5,6.11,0,,-,,,,62845,3156,8735,74736,6978,54.44,1.19,10.56,node.links.from.budget,0,,NaN,,,,09/08/2011,3.125,0
Harold Truman,787,112,male,16/01/1986,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,66715,8357,2001,Harold.Truman@realco.com,IE458071B,,,1,29/08/2009,,Y,Manchester,Agency,,10200,,,GBP,2500,0,10025.87,0,1.9,6.18,7,,63,,,No,75072,4501,10435,90009,8336,63.15,3.14,1.85,node.links.from.budget,3,,6.083333333,5.5,1,,08/12/2012,2,3
Spencer Lewis,137,787,male,01/06/1957,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,45150,3358,903,Spencer.Lewis@realco.com,HE875309C,,,1,13/02/2012,,Y,Manchester,Advert,,500,,,GBP,1500,0,9000,0,3.1,5.43,10,,250,,,,48508,2403,6743,57654,5555,44.32,0.68,20.68,node.links.from.budget,0,,NaN,,,,13/02/2012,2.325,5
Michael Nicholson,212,787,male,22/08/1961,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,47448,3741,949,Michael.Nicholson@realco.com,HD783531I,,,1,28/12/2009,,Y,Manchester,Agency,,7950,,,GBP,1500,0,10328.43,0,8.1,6.62,0,,-,,,,51190,2449,7115,60754,5924,41.9,2.81,23.1,node.links.from.budget,0,,NaN,,,,21/12/2011,6.075,0
Rhys Welch,312,787,male,10/06/1985,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,63018,6509,1891,Rhys.Welch@realco.com,DH797148C,,,1,23/01/2008,,Y,Manchester,Internal,0,0,,,GBP,2500,0,9000,0,5.8,6.2,5,,45,,,,69527,4391,9664,83582,7715,64.49,4.74,0.51,node.links.from.budget,0,,NaN,,,,10/01/2011,7.25,3
Keira Pugh,812,112,female,22/02/1961,Delivery Grade 4,Full time,UK,Ops Programme Delivery,4,63159,6580,1895,Keira.Pugh@realco.com,HI709332B,,,1,26/05/2009,,Y,Manchester,Agency,,10350,,,GBP,2000,0,10840.1,0,1.4,6.13,9,,144,,,,69739,3895,9694,83327,7847,53.87,3.4,11.14,node.links.from.budget,0,,NaN,,,,21/10/2012,2,4
Oscar Nicholson,837,112,male,22/05/1983,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,47712,3785,954,Oscar.Nicholson@realco.com,AG877678F,,,1,16/09/2010,,Y,Manchester,Advert,,500,,,GBP,1500,0,9473.15,0,0.9,6.34,10,Sickness,250,,,No,51498,2454,7158,61110,5882,44.9,2.09,20.1,node.links.from.budget,4,Back pain,6.51,4.8,2,,10/01/2011,2,5
Ryan Dale,162,837,male,05/04/1958,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,59794,5306,1196,Ryan.Dale@realco.com,GA689528E,,,1,12/02/2009,,Y,Manchester,Agency,,4350,,,GBP,2000,0,10358.75,0,4.3,6.3,9,Sickness,144,,,,65100,3196,9049,77345,7309,56.21,3.68,8.79,node.links.from.budget,0,Flu,NaN,,,,09/11/2012,4.3,4
Amanda Carr,262,837,female,15/03/1957,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,25412,0,508,Amanda.Carr@realco.com,DI326997C,,,1,22/07/2009,,Y,Manchester,Advert,,500,,,GBP,1000,0,10989.33,0,3.4,7.02,9,,441,,,,25412,1508,3532,30453,3454,32.02,3.24,32.98,node.links.from.budget,0,,NaN,,,,10/01/2011,4.25,7
Joe Conrad,362,837,male,19/10/1983,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,50544,4257,1011,Joe.Conrad@realco.com,AF461856G,,,1,25/07/2009,,Y,Manchester,Internal,0,0,,,GBP,1500,0,9000,0,5.5,6.82,6,,24,,,,54801,2511,7617,64930,6161,44.38,3.24,20.62,node.links.from.budget,0,,NaN,,,,17/11/2011,6.875,2
Madison Wallis,462,837,female,25/02/1963,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,28172,0,563,Madison.Wallis@realco.com,EB781554D,,,1,28/07/2009,,Y,Manchester,Agency,,9300,,,GBP,750,0,11162.12,0,5.2,5.9,6,Sickness,96,,,,28172,1313,3916,33402,3714,25.35,3.23,39.65,node.links.from.budget,0,Infectious disease,NaN,,,,19/12/2011,5.2,4
Maude Schreck,862,112,female,08/09/1960,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,50589,4265,1012,Maude.Schreck@realco.com,DG986538H,,,1,22/12/2006,,Y,Manchester,Agency,,9150,,,GBP,1000,0,9464.04,0,6,6.26,9,Sickness,225,,,,54854,2012,7625,64491,6163,36.89,5.83,28.11,node.links.from.budget,0,Other,NaN,,,,10/01/2011,5.4,5
Robert Snider,887,112,male,11/07/1986,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,42136,2856,843,Robert.Snider@realco.com,DF195663B,,,1,08/05/2009,,Y,Manchester,Agency,,9300,,,GBP,1500,0,9000,0,2,5.68,10,,250,,,,44992,2343,6254,53589,5216,41.8,3.45,23.21,node.links.from.budget,0,,NaN,,,,10/01/2011,2,5
Charlotte Headley,912,112,female,11/06/1958,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,27114,0,542,Charlotte.Headley@realco.com,JH492634J,,,1,27/07/2008,,Y,Manchester,Advert,,500,,,GBP,1000,0,9605.02,0,1.1,5.67,11,Sickness,539,,,No,27114,1542,3769,32425,3503,33.56,4.23,31.44,node.links.from.budget,3,Back pain,6.13,5.8,6,,12/03/2012,2,7
Jason Perkins,337,912,male,26/01/1959,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,28107,0,562,Jason.Perkins@realco.com,JJ840150G,,,1,15/12/2008,,Y,Manchester,Advert,,500,,,GBP,750,0,11679.28,0,2.9,5.72,9,,81,,,,28107,1312,3907,33326,3750,21.69,3.84,43.31,node.links.from.budget,0,,NaN,,,,10/01/2011,2.9,3
Darryl Ellis,537,912,male,11/05/1983,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,54956,4661,1099,Darryl.Ellis@realco.com,CF387356C,,,1,03/06/2007,,Y,Manchester,Advert,,500,,,GBP,2000,0,9000,0,4.7,5.98,0,,-,,,,59617,3099,8287,71003,6667,51.96,5.38,13.05,node.links.from.budget,0,,NaN,,,,30/11/2011,3.525,0
Benjamin Pritchard,587,912,male,18/08/1986,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,52747,4366,1055,Benjamin.Pritchard@realco.com,HF606672J,,,1,24/08/2008,,Y,Manchester,Agency,,9600,,,GBP,1500,0,9000,0,6,6.69,7,,175,,,,57113,2555,7939,67607,6384,49.18,4.15,15.83,node.links.from.budget,0,,NaN,,,,02/01/2012,6,5
Toby Walker,937,112,male,17/09/1958,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,34436,0,689,Toby.Walker@realco.com,FF730734A,,,1,20/12/2009,,Y,Manchester,Advert,,500,,,GBP,1000,0,9000,0,0.3,5.83,8,,128,,,Yes,34436,1689,4787,40911,4159,31.76,2.83,33.24,node.links.from.budget,3,,6.943333333,5.3,3,,16/05/2012,2,4
Aaron Clements,237,937,male,02/01/1987,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,28583,0,572,Aaron.Clements@realco.com,CD475411E,,,1,06/05/2008,,Y,Manchester,Internal,0,0,,,GBP,750,0,9000,0,6,6.14,4,,16,,,,28583,1322,3973,33878,3573,29.45,4.45,35.55,node.links.from.budget,0,,NaN,,,,07/07/2012,5.035,2
Anthony Zamora,487,937,male,27/10/1985,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,63244,6622,1897,Anthony.Zamora@realco.com,JA490390C,,,1,19/08/2011,,Y,Manchester,Internal,,0,,,GBP,2500,0,9000,0,6.5,6.82,0,Sickness,-,,,,69866,4397,9711,83974,7748,64.11,1.17,0.9,node.links.from.budget,0,Back pain,NaN,,,,19/08/2011,6.5,0
Archie Bates,612,937,male,07/06/1982,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,65403,7702,1962,Archie.Bates@realco.com,FB479376C,,,1,14/08/2011,,Y,Manchester,Agency,,7650,,,GBP,2500,0,9000,0,6.3,7.87,0,,-,,,,73105,4462,10162,87728,8061,62.91,1.18,2.09,node.links.from.budget,0,,NaN,,,,14/08/2011,6.3,0
Warren Sandoval,947,112,male,18/04/1952,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,63856,6928,1916,Warren.Sandoval@realco.com,IH512261C,,,1,20/07/2012,,Y,Manchester,Advert,,500,,,GBP,2500,0,9000,0,0.7,6.09,9,Sickness,144,,,Yes,70784,4416,9839,85038,7837,61.52,0.25,3.48,node.links.from.budget,2,Back pain,6.36,5.4,5,,20/07/2012,2,4
Louis Evans,1147,947,male,25/11/1959,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,30593,0,612,Louis.Evans@realco.com,BH314115F,,,1,13/03/2010,,Y,Manchester,Internal,0,0,,,GBP,500,0,9000,0,6.4,6.57,4,,4,,,,30593,1112,4252,35957,3746,18.47,2.6,46.53,node.links.from.budget,0,,NaN,,,,25/03/2012,7.04,1
Faith Myers,1172,947,female,12/03/1950,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,68347,9174,2050,Faith.Myers@realco.com,BH31829D,,,1,27/09/2007,,Y,Manchester,Advert,,500,,,GBP,2500,0,9000,0,5.9,6.15,7,,175,,,,77521,4550,10775,92847,8487,64.51,5.06,0.5,node.links.from.budget,0,,NaN,,,,28/09/2012,5.9,5
Douglas Robert,962,112,male,08/05/1985,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,64707,5961,1294,Douglas.Robert@realco.com,HG753602H,,,1,03/10/2007,,Y,Manchester,Advert,,500,,,GBP,2000,0,10243.62,0,1.5,5.72,11,,396,,,,70668,3294,9823,83785,7836,58.85,5.05,6.15,node.links.from.budget,1,,5.63,,,,10/01/2011,2,6
Jeannette Duke,1012,962,female,19/08/1987,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,31690,0,634,Jeannette.Duke@realco.com,CB715228J,,,1,13/04/2011,,Y,Manchester,Advert,,500,,,GBP,500,0,9000,0,8,5.63,0,,-,,,,31690,1134,4405,37228,3852,18.48,1.52,46.53,node.links.from.budget,0,,NaN,,,,13/04/2011,10,0
Shonna Hayes,987,112,female,07/01/1950,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,63078,6539,1892,Shonna.Hayes@realco.com,FI506985I,,,1,22/07/2008,,Y,Manchester,Agency,,10200,,,GBP,2500,0,9000,0,7.5,7.65,4,Sickness,4,,,,69616,4392,9677,83685,7724,64.91,4.24,0.09,node.links.from.budget,0,Other,NaN,,,,24/07/2011,6.522,1
Jayden Cook,1036,112,male,02/02/1952,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,53180,4697,1064,Jayden.Cook@realco.com,BF207858B,,,1,02/05/2008,,Y,Manchester,Internal,0,0,,,GBP,1500,0,9000,0,1.8,5.68,8,,128,,,No,57877,2564,8045,68485,6457,40.46,4.47,24.54,node.links.from.budget,7,,6.574285714,6.3,3,,03/12/2011,2,4
David Ozuna,1061,1036,male,23/03/1960,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,49941,4157,999,David.Ozuna@realco.com,GG592629I,,,1,15/01/2007,,Y,Manchester,Internal,,0,,,GBP,1000,0,9000,0,5.9,6.62,6,,96,,,,54098,1999,7520,63616,6051,36.69,5.76,28.31,node.links.from.budget,0,,NaN,,,,10/01/2011,5.9,4
Robert Coffman,1086,1036,male,21/05/1958,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,42932,2989,859,Robert.Coffman@realco.com,CF164835H,,,1,06/04/2008,,Y,Manchester,Advert,,500,,,GBP,1000,0,9000,0,5.4,6.43,6,,54,,,,45921,1859,6383,54163,5264,39.03,4.54,25.97,node.links.from.budget,0,,NaN,,,,13/10/2012,4.86,3
Julie Jackson,1111,1036,female,23/08/1988,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,34066,0,681,Julie.Jackson@realco.com,CC286699G,,,1,16/04/2012,,Y,Manchester,Advert,,500,,,GBP,1000,0,11911,0,7.1,5.95,6,,24,,,,34066,1681,4735,40482,4366,34.36,0.51,30.65,node.links.from.budget,0,,NaN,,,,16/04/2012,8.875,2
Tia Hughes,1136,1036,female,07/09/1961,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,40909,2652,818,Tia.Hughes@realco.com,GB761848F,,,1,14/08/2009,,Y,Manchester,Agency,,9600,,,GBP,1000,0,10657.29,0,2.9,6.33,6,,54,,,,43561,1818,6055,51434,5174,37.61,3.18,27.39,node.links.from.budget,0,,NaN,,,,28/07/2011,3.42,3
Maya Armstrong,1161,1036,female,19/08/1951,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,41775,2796,835,Maya.Armstrong@realco.com,CD633583F,,,1,26/06/2011,,Y,Manchester,Agency,,9300,,,GBP,1000,0,9000,0,6,7.05,7,,63,,,,44571,1835,6195,52602,5133,39.05,1.32,25.95,node.links.from.budget,0,,NaN,,,,26/06/2011,4.5,3
Catherine Anderson,1186,1036,female,05/06/1961,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,47841,3807,957,Catherine.Anderson@realco.com,HI524214D,,,1,19/06/2009,,Y,Manchester,Internal,,0,,,GBP,1000,0,9000,0,5.8,6.29,8,,200,,,,51648,1957,7179,60784,5815,38.42,3.33,26.59,node.links.from.budget,0,,NaN,,,,20/06/2012,5.8,5
Andrew Hatch,1211,1036,male,11/04/1984,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,68032,9016,2041,Andrew.Hatch@realco.com,DD738873F,,,1,28/12/2010,,Y,Manchester,Internal,0,0,,,GBP,2500,0,9000,0,5.9,7.35,3,,3,,,,77048,4541,10710,92298,8442,65.46,1.81,-0.46,node.links.from.budget,0,,NaN,,,,27/12/2012,5.31,1
Kris Hinton,1037,112,female,22/09/1986,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,52524,4337,1050,Kris.Hinton@realco.com,HG788463D,,,1,30/01/2012,,Y,Manchester,Agency,,10500,,,GBP,1500,0,9000,0,1.9,6.6,0,,-,,,,56861,2550,7904,67315,6360,48.47,0.72,16.54,node.links.from.budget,0,,NaN,,,,30/01/2012,2,0
Tiffani Dowdell,1062,112,female,14/10/1962,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,30882,0,618,Tiffani.Dowdell@realco.com,EI627616A,,,1,22/06/2009,,Y,Manchester,Agency,,9900,,,GBP,750,0,11121.29,0,2.1,4.84,12,Sickness,432,,,,30882,1368,4293,36543,3972,24.04,3.33,40.96,node.links.from.budget,2,Back pain,6.18,,,,23/06/2011,2,6
Arlena Payeur,387,1062,female,09/01/1984,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,62761,6381,1883,Arlena.Payeur@realco.com,GG290504C,,,1,26/08/2012,,Y,Manchester,Agency,,9750,,,GBP,2500,0,9586.06,0,3.7,6.19,8,,128,,,,69142,4383,9611,83135,7727,64.87,0.15,0.14,node.links.from.budget,0,,NaN,,,,26/08/2012,3.7,4
Jennifer Thao,637,1062,female,28/05/1958,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,41400,2733,828,Jennifer.Thao@realco.com,CD570939G,,,1,12/09/2010,,Y,Manchester,Agency,,9150,,,GBP,1000,0,9000,0,3.7,6.17,9,Sickness,225,,,,44134,1828,6135,52096,5091,37.89,2.1,27.12,node.links.from.budget,0,Back pain,NaN,,,,25/08/2012,4.625,5
Holly Jordan,1087,112,female,18/05/1982,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,58622,5150,1172,Holly.Jordan@realco.com,HH266423I,,,1,12/05/2008,,Y,Manchester,Advert,,500,,,GBP,2000,0,9000,0,2,5.51,11,,396,,,Yes,63772,3172,8864,75808,7067,52.36,4.44,12.64,node.links.from.budget,2,,7.17,5.1,0,,10/01/2011,2.5,6
James Castillo,287,1087,male,19/10/1983,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,62830,6415,1885,James.Castillo@realco.com,AE884052B,,,1,19/06/2009,,Y,Manchester,Advert,,500,,,GBP,2500,0,9000,0,8.8,7.51,0,,-,,,,69245,4385,9625,83254,7688,65.65,3.33,-0.65,node.links.from.budget,0,,NaN,,,,10/01/2011,8.8,0
Tilly Chambers,662,1087,female,18/01/1987,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,53851,4808,1077,Tilly.Chambers@realco.com,BG925250D,,,1,31/07/2007,,Y,Manchester,Internal,0,0,,,GBP,1000,0,9000,0,4.5,6.83,9,,441,,,,58659,2077,8154,68890,6491,38.5,5.22,26.5,node.links.from.budget,0,,NaN,,,,10/01/2011,5.625,7
Isaac Andrews,1112,112,male,31/07/1954,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,55394,4719,1108,Isaac.Andrews@realco.com,BA78460A,,,1,15/02/2011,,Y,Manchester,Internal,0,0,,,GBP,1500,0,9000,0,1.9,5.28,7,,63,,,,60114,2608,8356,71077,6673,48.51,1.67,16.49,node.links.from.budget,0,,NaN,,,,15/02/2011,2.375,3
Kevin Thompson,1137,112,male,28/08/1949,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,61407,5521,1228,Kevin.Thompson@realco.com,HA359864I,,,1,26/10/2006,,Y,Manchester,Agency,,10350,,,GBP,2000,0,9000,0,0.5,5.01,10,Sickness,250,,,No,66928,3228,9303,79459,7372,59.4,5.98,5.61,node.links.from.budget,3,Other,5.96,5,5,,10/01/2011,2,5
Corey Holloway,1162,1137,male,27/02/1959,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,28341,0,567,Corey.Holloway@realco.com,HB419631E,,,1,01/07/2008,,Y,Manchester,Internal,,0,,,GBP,1000,0,9000,0,8.9,6.62,3,,3,,,,28341,1567,3939,33847,3571,31.13,4.3,33.88,node.links.from.budget,0,,NaN,,,,10/01/2011,10,1
Lily Reynolds,1187,1137,female,05/12/1957,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,29173,0,583,Lily.Reynolds@realco.com,HD595128C,,,1,16/06/2008,,Y,Manchester,Agency,,9750,,,GBP,500,0,9000,0,3,5.45,9,,324,,,No,29173,1083,4055,34312,3609,19.56,4.34,45.44,node.links.from.budget,2,,6.74,5.4,4,,26/11/2012,3,6
Bobby Johnson,187,1187,male,04/12/1957,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,44717,3286,894,Bobby.Johnson@realco.com,FI850899H,,,1,06/12/2010,,Y,Manchester,Agency,,4200,,,GBP,1000,0,9000,0,3.3,6.46,6,,24,,,,48003,1894,6672,56570,5464,38.7,1.87,26.3,node.links.from.budget,0,,NaN,,,,10/01/2011,4.125,2
Michael Marrero,512,1187,male,30/12/1955,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,26319,0,526,Michael.Marrero@realco.com,AA454588H,,,1,03/02/2011,,Y,Manchester,Internal,0,0,,,GBP,750,0,9000,0,5,7.02,6,,96,,,,26319,1276,3658,31253,3354,21.61,1.71,43.39,node.links.from.budget,0,,NaN,,,,03/02/2011,3.963,4
Dan Hayes,1212,1137,male,11/06/1953,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,62185,6093,1866,Dan.Hayes@realco.com,DB734466I,,,1,16/06/2010,,Y,Manchester,Agency,,9600,,,GBP,2500,0,9000,0,3.6,5.81,10,,640,,,,68278,4366,9491,82134,7595,65.6,2.34,-0.6,node.links.from.budget,0,,NaN,,,,10/01/2011,3.6,8
Matthew Atkinson,1151,112,male,12/07/1985,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,51507,4418,1030,Matthew.Atkinson@realco.com,GB772183D,,,1,12/01/2010,,Y,Manchester,Advert,,500,,,GBP,1500,0,9000,0,0.8,5.24,9,,225,,,Yes,55925,2530,7774,66229,6269,43.83,2.77,21.18,node.links.from.budget,3,,5.953333333,2.8,1,,10/01/2011,2,5
William Hope,1176,1151,male,19/04/1986,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,57654,5021,1153,William.Hope@realco.com,DJ9327G,,,1,02/07/2009,,Y,Manchester,Agency,,9750,,,GBP,2000,0,9000,0,2.3,5.76,10,,490,,,,62675,3153,8712,74540,6962,54.44,3.3,10.56,node.links.from.budget,0,,NaN,,,,10/01/2011,2.53,7
Scott Carroll,1201,1151,male,20/04/1954,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,54370,4895,1087,Scott.Carroll@realco.com,IB222988F,,,1,19/04/2009,,Y,Manchester,Internal,,0,,,GBP,1000,0,9000,0,2.4,5.47,9,,324,,,,59264,2087,8238,69590,6549,37.15,3.5,27.85,node.links.from.budget,0,,NaN,,,,09/07/2011,2,6
Evan Bryant,1226,1151,male,18/08/1985,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,64131,5884,1283,Evan.Bryant@realco.com,CD813619C,,,1,30/05/2007,,Y,Manchester,Advert,,500,,,GBP,2000,0,9920.19,0,1.8,6.63,9,,225,,,,70015,3283,9732,83030,7746,59.13,5.39,5.87,node.links.from.budget,0,,NaN,,,,06/06/2011,2,5
Billy Hammond,1152,112,male,17/01/1985,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,29287,0,586,Billy.Hammond@realco.com,JE884744F,,,1,06/12/2006,,Y,Manchester,Internal,,0,,,GBP,750,0,9000,0,1.8,5.42,9,,144,,,Yes,29287,1336,4071,34694,3641,22.21,5.87,42.79,node.links.from.budget,6,,6.083333333,3.7,1,,10/01/2011,2,4
Phyllis Campbell,277,1152,female,23/04/1985,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,52696,4359,1054,Phyllis.Campbell@realco.com,BF617534G,,,1,14/07/2008,,Y,Manchester,Advert,,500,,,GBP,1500,0,9011.13,0,1.9,5.07,8,,200,,,,57056,2554,7931,67540,6379,46.25,4.27,18.75,node.links.from.budget,0,,NaN,,,,08/07/2012,2,5
Taylor Stevenson,602,1152,male,06/08/1988,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,31718,0,634,Taylor.Stevenson@realco.com,JA683625I,,,1,09/04/2008,,Y,Manchester,Advert,,500,,,GBP,500,0,9000,0,1.6,5.57,10,Sickness,160,,,,31718,1134,4409,37261,3855,19.82,4.53,45.18,node.links.from.budget,0,Injury,NaN,,,,25/09/2012,2,4
Amber Kirby,1127,1152,female,20/07/1959,Delivery Grade 2,Full time,UK,Ops Programme Delivery,2,43344,3057,867,Amber.Kirby@realco.com,FA517222B,,,1,06/12/2009,,Y,Manchester,Agency,,10200,,,GBP,1000,0,10585.65,0,1.8,6.5,9,,324,,,,46401,1867,6450,54717,5442,30.11,2.87,34.89,node.links.from.budget,0,,NaN,,,,04/03/2012,2.25,6
Zara Wall,1177,1152,female,26/10/1984,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,33820,0,676,Zara.Wall@realco.com,BB116757C,,,1,16/02/2010,,Y,Manchester,Internal,0,0,,,GBP,1000,0,9000,0,1.7,6.85,6,,24,,,,33820,1676,4701,40198,4100,34.93,2.67,30.08,node.links.from.budget,0,,NaN,,,,07/05/2011,2,2
Madison Bennett,1202,1152,female,14/11/1956,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,26168,0,523,Madison.Bennett@realco.com,FB835129A,,,1,09/07/2012,,Y,Manchester,Agency,,10050,,,GBP,750,0,9000,0,2.3,6.59,5,,5,,,,26168,1273,3637,31079,3340,20.44,0.28,44.56,node.links.from.budget,0,,NaN,,,,09/07/2012,2.875,1
Lewis Hamilton,1227,1152,male,02/06/1987,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,34284,0,686,Lewis.Hamilton@realco.com,FE407387H,,,1,26/02/2007,,Y,Manchester,Advert,,500,,,GBP,750,0,9656.88,0,1.4,5.92,8,Sickness,128,,,,34284,1436,4766,40486,4179,22.91,5.65,42.09,node.links.from.budget,0,Other,NaN,,,,10/01/2011,2,4
Enrique Nichols,1197,112,male,22/01/1957,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,45682,3447,914,Enrique.Nichols@realco.com,DA944160D,,,1,20/09/2010,,Y,Manchester,Agency,,10050,,,GBP,1000,0,9000,0,1.9,6.41,11,Sickness,396,,,,49129,1914,6829,57871,5573,35.57,2.08,29.43,node.links.from.budget,0,Stress,NaN,,,,10/01/2011,2,6
Charles Jones,1222,112,male,16/09/1987,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,31433,0,629,Charles.Jones@realco.com,EG757620J,,,1,04/07/2009,,Y,Manchester,Agency,,9450,,,GBP,750,0,9000,0,1.3,5.97,8,,200,,,Yes,31433,1379,4369,37181,3848,29.73,3.29,35.28,node.links.from.budget,4,,6.22,4.1,2,,29/01/2012,2,5
Edna Phillips,447,1222,female,08/03/1950,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,55669,4756,1113,Edna.Phillips@realco.com,FG555953F,,,1,25/07/2011,,Y,Manchester,Agency,,9450,,,GBP,1500,0,9000,0,9.4,7.62,7,,175,,,,60425,2613,8399,71437,6703,46.32,1.24,18.68,node.links.from.budget,0,,NaN,,,,25/07/2011,10,5
Mark Villegas,597,1222,male,20/12/1953,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,63196,6598,1896,Mark.Villegas@realco.com,CE302500I,,,1,13/01/2010,,Y,Manchester,Agency,,8700,,,GBP,2500,0,9000,0,3.5,5.26,6,,24,,,,69794,4396,9701,83891,7741,64.17,2.76,0.84,node.links.from.budget,0,,NaN,,,,10/01/2011,2.625,2
